age,gender,education,years_of_experience,job_title,job_location,city,nationality,salary_inr_lakhs
37,Male,B.Tech,15,Software Developer,Urban,Bangalore,Indian,32.4
46,Female,MBA,21,Product Manager,Urban,Mumbai,Indian,85.8
29,Male,M.Tech,4,Data Scientist,Urban,Delhi,Indian,24.2
41,Female,B.Tech,16,DevOps Engineer,Suburban,Hyderabad,Indian,37.6
25,Male,B.Sc,3,Frontend Developer,Urban,Bangalore,Indian,10.8
52,Male,PhD,27,ML Engineer,Urban,Mumbai,Indian,89.4
34,Female,MBA,9,Business Analyst,Urban,Pune,Indian,32.5
28,Male,B.Tech,5,Backend Developer,Urban,Chennai,Indian,18.7
31,Female,M.Tech,6,QA Engineer,Suburban,Bangalore,Indian,11.2
45,Male,B.Tech,20,System Admin,Urban,Delhi,Indian,31.9
26,Female,B.Sc,1,Data Scientist,Urban,Hyderabad,Indian,13.2
39,Male,MBA,14,Product Manager,Urban,Bangalore,Indian,65.7
33,Female,M.Tech,8,Software Developer,Urban,Mumbai,Indian,28.1
27,Male,B.Tech,2,DevOps Engineer,Urban,Pune,Indian,14.8
44,Female,PhD,19,ML Engineer,Urban,Delhi,Indian,72.3
30,Male,B.Com,5,Business Analyst,Suburban,Chennai,Indian,11.9
35,Female,B.Tech,10,Frontend Developer,Urban,Kolkata,Indian,17.4
42,Male,M.Sc,17,Data Scientist,Urban,Bangalore,Indian,49.8
29,Female,B.Tech,4,Backend Developer,Urban,Hyderabad,Indian,17.2
51,Male,MBA,26,Product Manager,Urban,Mumbai,Indian,108.2
24,Female,Diploma,0,QA Engineer,Rural,Jaipur,Indian,4.1
38,Male,B.Tech,13,Software Developer,Urban,Pune,Indian,25.8
46,Female,M.Tech,21,DevOps Engineer,Urban,Chennai,Indian,44.2
32,Male,B.Sc,7,System Admin,Suburban,Bangalore,Indian,12.8
28,Female,MBA,3,Business Analyst,Urban,Delhi,Indian,21.7
41,Male,PhD,16,Data Scientist,Urban,Mumbai,Indian,57.6
26,Female,B.Tech,1,Frontend Developer,Urban,Hyderabad,Indian,7.8
49,Male,M.Tech,24,ML Engineer,Urban,Bangalore,Indian,89.7
35,Female,B.Com,10,Business Analyst,Urban,Kolkata,Indian,19.4
43,Male,B.Tech,18,Backend Developer,Suburban,Pune,Indian,33.6
30,Female,M.Sc,5,Data Scientist,Urban,Chennai,Indian,22.1
37,Male,MBA,12,Product Manager,Urban,Ahmedabad,Indian,42.6
25,Female,B.Tech,0,QA Engineer,Urban,Bangalore,Indian,6.8
54,Male,PhD,29,ML Engineer,Urban,Delhi,American,135.4
31,Female,M.Tech,6,Software Developer,Urban,Mumbai,Indian,21.8
28,Male,Diploma,3,System Admin,Rural,Lucknow,Indian,7.2
45,Female,MBA,20,Product Manager,Urban,Hyderabad,Indian,78.3
33,Male,B.Sc,8,Frontend Developer,Suburban,Bangalore,Indian,13.9
39,Female,B.Tech,14,DevOps Engineer,Urban,Chennai,Indian,30.4
27,Male,M.Sc,2,Data Scientist,Urban,Pune,Indian,16.8
50,Female,PhD,25,ML Engineer,Urban,Mumbai,Indian,97.6
34,Male,B.Com,9,Business Analyst,Urban,Delhi,Indian,22.1
29,Female,B.Tech,4,Backend Developer,Urban,Kolkata,Indian,15.7
42,Male,MBA,17,Product Manager,Urban,Bangalore,Indian,72.4
26,Female,Diploma,1,QA Engineer,Suburban,Jaipur,Indian,4.8
